Species,Bin,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
Thrinaxodon,1,-121.9436872,65.36303755,-2.278639143,8.780829252,-6.002319907,-29.14086879,16.41435948,-9.80427645,0.095472698,-18.83906022
Massetognathus,1,-60.07090199,37.01614357,13.96218864,-18.88564158,-25.5303201,3.130731118,15.19310836,2.570702168,-17.1792914,-11.21869858
Probainognathus,1,-54.90978268,35.62981737,15.05088398,-25.51359402,-24.19419106,5.692904667,14.48634972,3.824679983,-21.41539353,-5.659293066
Adelobasileus,1,-9.79855393,-1.728695739,0.493677539,-4.872194638,-0.947441929,7.206345914,2.298133637,3.190766527,-1.605571388,3.412950779
Haramiyavia,1,-3.37830982,-1.213506455,8.637688581,2.730720216,2.116356058,8.608976306,-2.869443888,-3.310751779,1.246066469,-11.79778505
Sinoconodon,1,-102.2537256,27.43184539,37.08144662,-24.08133434,22.33560472,9.831039976,-3.702741261,18.46142876,-10.32963428,6.344335259
Morganucodon,1,-122.0171114,-5.491080489,10.06271037,-18.19459988,29.41190077,-6.292687545,-1.712338723,-11.36017027,25.30585625,11.81649731
Pachygenelus,1,-83.84702192,38.19870552,28.92882382,-5.115700161,-1.445829371,4.922409415,1.273334866,-6.482807179,-8.217946665,13.7585914
Megazostrodon,1,-108.3620139,0.016600242,6.852684287,-14.41484822,30.86540215,-8.389774593,-20.04956069,-14.48893959,8.892028024,9.111849905
Hadrocodium,1,-27.31500969,-21.31155083,9.713843555,-20.88443475,37.779312,28.57815828,-11.93359862,23.33464945,9.986469075,5.759471765
Asfaltomylos,1,2.51447813,3.294656338,2.633457442,3.563221056,0.767632833,2.628446108,1.717424202,-0.029643657,4.523234794,-4.846166084
Ambondro,2,0.751369427,3.246135191,1.526692019,3.159361058,2.739489023,5.752799852,1.197382052,-3.972273462,2.844328349,-3.045485968
Amphilestes,2,-6.399937232,-9.500860125,-3.300296647,-5.277252535,1.570867328,0.772758027,-4.369216391,6.584922199,-13.37434746,6.700669811
Amphitherium,2,-6.790041609,-13.63439407,2.757698661,-9.987765462,-18.83967854,-8.535428244,-18.77043884,9.956073292,-1.080921573,-4.763202657
Shuotherium,2,-12.24552247,-16.67867233,15.88398386,-0.971571524,-9.704552766,16.13634085,-11.05651401,-4.541906402,-7.843976501,-21.71209757
Castorocauda,2,-48.22226707,-1.709997202,-5.572074018,6.112302453,21.15605901,0.705164666,-29.44921165,-13.96523279,6.683900917,-11.26850579
Pseudotribos,2,-20.6775985,-11.48404211,22.91445002,10.93170444,-8.709039459,13.79296375,-27.20755217,-20.53456105,3.784972094,-18.0134144
Nanolestes,2,-3.570329184,-9.725309353,-1.904614793,-8.906095522,-13.43471998,-14.30154468,-16.15774853,14.20725412,1.009483144,3.539877354
Fruitafossor,2,-22.26039176,2.655980537,-8.880594701,17.8787722,20.37711907,5.713888729,-12.51788055,-1.944037133,2.726869714,-20.80719808
Priacodon,2,-22.97895305,-24.80532416,-10.37150234,-9.547083025,8.47241336,14.92939905,-1.447408865,12.79767957,-26.54688992,14.87481711
Trioracodon,2,-15.69696405,-16.75764733,-5.021744743,-8.358903171,7.28564023,8.790007005,-4.323549744,12.13981181,-23.21004486,8.009937343
Haldanodon,2,-72.90987537,-14.92872895,21.48261077,-29.57006583,15.85011049,23.15540881,-19.63210114,-22.25734849,-0.258377086,5.971186581
Henkelotherium,2,-1.359626921,-29.3284377,-0.345150842,-14.58271546,-21.88355263,-8.474932263,-5.238779363,9.304516613,-1.680613444,-0.360794407
Dryolestes,2,-8.899540589,-18.97817902,0.477024367,-14.26008959,-24.22007895,-3.972606631,-16.00013592,3.288351247,-3.889666359,-7.064680762
